iter	Passed	Remaining
0	13	13916
1	25	12636
2	36	12209
3	51	12789
4	64	12824
5	81	13444
6	96	13720
7	108	13460
8	118	13067
9	130	12927
10	144	12960
11	151	12447
12	161	12249
13	169	11915
14	183	12031
15	198	12177
16	213	12345
17	227	12420
18	244	12641
19	258	12653
20	271	12668
21	281	12528
22	295	12557
23	309	12577
24	320	12495
25	333	12479
26	341	12318
27	350	12162
28	359	12032
29	367	11871
30	374	11712
31	381	11540
32	393	11543
33	404	11501
34	412	11379
35	420	11263
36	428	11162
37	438	11105
38	450	11094
39	459	11038
40	469	10982
41	479	10938
42	494	10995
43	508	11042
44	519	11023
45	532	11040
46	544	11032
47	556	11040
48	568	11042
49	581	11049
50	594	11061
51	607	11078
52	619	11068
53	629	11024
54	637	10959
55	648	10932
56	661	10936
57	672	10930
58	684	10916
59	696	10904
60	706	10877
61	720	10899
62	730	10859
63	742	10859
64	752	10827
65	767	10856
66	781	10883
67	795	10904
68	806	10877
69	821	10909
70	836	10945
71	850	10968
72	862	10957
73	876	10971
74	889	10966
75	902	10970
76	918	11004
77	932	11023
78	944	11012
79	959	11039
80	973	11041
81	980	10973
82	988	10921
83	994	10849
84	1001	10776
85	1009	10729
86	1015	10661
87	1024	10621
88	1031	10555
89	1040	10517
90	1045	10448
91	1054	10409
92	1061	10351
93	1070	10313
94	1076	10257
95	1084	10211
96	1091	10156
97	1097	10104
98	1108	10085
99	1114	10034
100	1123	9999
101	1130	9949
102	1139	9920
103	1145	9869
104	1152	9826
105	1159	9778
106	1167	9742
107	1173	9695
108	1182	9663
109	1189	9620
110	1196	9580
111	1204	9547
112	1210	9502
113	1219	9474
114	1225	9429
115	1231	9386
116	1238	9343
117	1245	9306
118	1251	9268
119	1258	9225
120	1266	9198
121	1273	9164
122	1280	9130
123	1287	9095
124	1294	9063
125	1301	9031
126	1309	9002
127	1316	8969
128	1322	8932
129	1329	8900
130	1336	8865
131	1343	8833
132	1350	8800
133	1356	8765
134	1362	8732
135	1368	8696
136	1375	8661
137	1382	8634
138	1389	8604
139	1397	8581
140	1403	8550
141	1410	8524
142	1416	8491
143	1424	8467
144	1431	8441
145	1437	8409
146	1444	8381
147	1450	8352
148	1457	8323
149	1464	8297
150	1470	8269
151	1477	8244
152	1484	8218
153	1491	8195
154	1498	8167
155	1504	8138
156	1511	8113
157	1517	8087
158	1525	8068
159	1531	8042
160	1539	8022
161	1545	7996
162	1552	7971
163	1560	7953
164	1566	7928
165	1574	7909
166	1581	7889
167	1589	7870
168	1595	7845
169	1601	7820
170	1608	7797
171	1615	7776
172	1622	7756
173	1628	7731
174	1635	7709
175	1642	7691
176	1649	7667
177	1656	7649
178	1662	7626
179	1669	7606
180	1675	7583
181	1682	7560
182	1690	7547
183	1697	7527
184	1704	7508
185	1710	7487
186	1717	7466
187	1723	7442
188	1729	7423
189	1736	7402
190	1743	7382
191	1749	7363
192	1756	7343
193	1765	7335
194	1772	7316
195	1783	7314
196	1789	7294
197	1798	7286
198	1805	7267
199	1814	7259
200	1820	7237
201	1829	7228
202	1846	7250
203	1854	7237
204	1866	7237
205	1872	7217
206	1884	7217
207	1890	7200
208	1899	7189
209	1906	7171
210	1920	7181
211	1935	7195
212	1949	7202
213	1955	7183
214	1966	7178
215	1972	7159
216	1981	7149
217	1988	7131
218	1999	7129
219	2005	7110
220	2013	7096
221	2018	7075
222	2026	7062
223	2032	7042
224	2038	7021
225	2046	7010
226	2052	6988
227	2059	6973
228	2064	6952
229	2070	6931
230	2076	6914
231	2082	6894
232	2089	6877
233	2097	6866
234	2103	6848
235	2112	6837
236	2117	6818
237	2126	6808
238	2132	6788
239	2140	6777
240	2145	6758
241	2151	6738
242	2160	6731
243	2166	6711
244	2176	6708
245	2182	6688
246	2192	6683
247	2198	6666
248	2207	6657
249	2213	6639
250	2220	6625
251	2226	6607
252	2231	6589
253	2239	6578
254	2245	6559
255	2252	6545
256	2259	6532
257	2265	6514
258	2275	6509
259	2280	6491
260	2290	6484
261	2295	6466
262	2304	6458
263	2310	6440
264	2318	6431
265	2326	6419
266	2333	6407
267	2341	6395
268	2346	6377
269	2356	6370
270	2361	6352
271	2370	6344
272	2376	6327
273	2384	6317
274	2391	6303
275	2396	6286
276	2405	6277
277	2410	6260
278	2418	6249
279	2423	6232
280	2429	6216
281	2438	6207
282	2443	6190
283	2451	6180
284	2456	6163
285	2463	6150
286	2470	6136
287	2475	6119
288	2482	6107
289	2487	6090
290	2493	6074
291	2500	6062
292	2505	6046
293	2512	6033
294	2518	6018
295	2523	6002
296	2530	5989
297	2535	5973
298	2541	5958
299	2547	5944
300	2552	5928
301	2558	5913
302	2564	5899
303	2570	5884
304	2576	5870
305	2581	5855
306	2587	5840
307	2594	5828
308	2600	5815
309	2607	5804
310	2614	5791
311	2619	5776
312	2625	5762
313	2631	5749
314	2637	5734
315	2643	5722
316	2649	5707
317	2654	5693
318	2661	5681
319	2666	5667
320	2672	5652
321	2679	5642
322	2685	5628
323	2691	5616
324	2697	5602
325	2702	5588
326	2710	5577
327	2715	5563
328	2722	5552
329	2728	5539
330	2734	5527
331	2742	5517
332	2747	5504
333	2753	5490
334	2760	5479
335	2765	5465
336	2772	5454
337	2778	5441
338	2783	5427
339	2790	5416
340	2795	5402
341	2801	5389
342	2807	5378
343	2813	5364
344	2818	5351
345	2825	5340
346	2831	5327
347	2838	5317
348	2843	5304
349	2848	5290
350	2855	5279
351	2860	5266
352	2866	5254
353	2873	5243
354	2878	5230
355	2885	5219
356	2890	5206
357	2896	5194
358	2902	5182
359	2907	5169
360	2913	5157
361	2920	5146
362	2925	5134
363	2931	5122
364	2938	5111
365	2943	5099
366	2949	5087
367	2955	5075
368	2960	5062
369	2966	5051
370	2972	5039
371	2977	5027
372	2984	5017
373	2991	5007
374	2997	4995
375	3005	4987
376	3010	4975
377	3018	4966
378	3025	4957
379	3032	4947
380	3039	4938
381	3045	4926
382	3055	4921
383	3060	4909
384	3069	4903
385	3075	4891
386	3082	4883
387	3089	4873
388	3095	4861
389	3103	4854
390	3109	4842
391	3118	4836
392	3123	4824
393	3130	4814
394	3136	4804
395	3142	4793
396	3152	4788
397	3158	4777
398	3167	4771
399	3172	4759
400	3180	4750
401	3185	4738
402	3191	4727
403	3199	4720
404	3205	4708
405	3211	4698
406	3218	4688
407	3223	4677
408	3232	4670
409	3237	4659
410	3245	4650
411	3251	4640
412	3257	4629
413	3266	4623
414	3271	4612
415	3280	4605
416	3286	4594
417	3294	4587
418	3300	4576
419	3305	4565
420	3315	4560
421	3321	4548
422	3330	4542
423	3335	4531
424	3342	4522
425	3348	4512
426	3354	4501
427	3361	4492
428	3367	4481
429	3372	4470
430	3378	4460
431	3384	4449
432	3391	4441
433	3397	4430
434	3403	4419
435	3410	4411
436	3415	4400
437	3422	4391
438	3427	4380
439	3433	4370
440	3442	4363
441	3447	4352
442	3454	4343
443	3460	4333
444	3466	4322
445	3472	4313
446	3477	4302
447	3483	4291
448	3489	4282
449	3495	4271
450	3500	4261
451	3507	4252
452	3512	4241
453	3519	4232
454	3524	4221
455	3530	4211
456	3537	4202
457	3543	4192
458	3548	4182
459	3554	4173
460	3560	4162
461	3567	4154
462	3574	4145
463	3579	4135
464	3585	4125
465	3591	4115
466	3597	4105
467	3603	4096
468	3608	4086
469	3614	4076
470	3621	4067
471	3627	4057
472	3634	4049
473	3640	4039
474	3646	4029
475	3653	4021
476	3658	4011
477	3663	4001
478	3671	3993
479	3677	3983
480	3683	3974
481	3688	3964
482	3694	3954
483	3701	3946
484	3706	3935
485	3747	3963
486	3762	3963
